yyyymm,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx
197909,109.32,5.5100,14.6300,1.0137949874,0.1026,0.0944,0.1054,0.0927,0.0094039237,0.008300,0.0108401084,-0.0122,-0.0179,0.0012330663,-0.0014195561,0.001416,-0.000872
197910,101.82,5.5567,14.7067,1.0919455682,0.1170,0.1013,0.1140,0.1034,0.0102095448,0.008700,0.0080428954,-0.0841,-0.0890,0.0025892994,-0.0012554812,-0.065560,-0.068517
197911,106.16,5.6033,14.7833,1.0831154618,0.1179,0.1076,0.1199,0.1009,0.0107786938,0.009900,0.0093085106,0.0311,0.0222,0.0015583806,-0.0008445089,0.052777,0.043570
197912,107.94,5.6500,14.8600,1.0619500680,0.1204,0.1074,0.1206,0.1012,0.0105144647,0.009500,0.0105401845,0.0057,-0.0108,0.0004696422,-0.0003711309,0.018340,0.015892
198001,114.16,5.7000,15.0033,1.0169549580,0.1200,0.1109,0.1242,0.1114,0.0112974707,0.008000,0.0143415906,-0.0741,-0.0645,0.0019064055,-0.0002951250,0.061308,0.058935
198002,113.66,5.7500,15.1467,1.0319299303,0.1286,0.1238,0.1357,0.1186,0.0108271852,0.008900,0.0141388175,-0.0467,-0.0665,0.0018976181,-0.0008211683,0.002611,-0.005574
198003,102.09,5.8000,15.2900,1.0937321031,0.1520,0.1296,0.1445,0.1239,0.0118774451,0.012100,0.0152091255,-0.0315,-0.0062,0.0046218942,-0.0004846084,-0.097518,-0.100096
198004,106.29,5.8467,15.1733,1.0518199398,0.1320,0.1204,0.1419,0.1076,0.0153468468,0.012600,0.0112359551,0.1523,0.1376,0.0027455493,-0.0002650010,0.042394,0.039877
198005,111.24,5.8933,15.0567,1.0100487748,0.0858,0.1099,0.1317,0.1037,0.0150518602,0.008100,0.0098765432,0.0419,0.0560,0.0015097166,-0.0001539688,0.055560,0.046651
198006,114.24,5.9400,14.9400,0.9901834270,0.0707,0.1058,0.1271,0.1006,0.0153043875,0.006100,0.0110024450,0.0359,0.0341,0.0013710848,0.0004203133,0.029722,0.026895
198007,121.67,5.9833,14.8400,0.9188299192,0.0806,0.1107,0.1265,0.1074,0.0201540380,0.005300,0.0000000000,-0.0476,-0.0429,0.0013628310,0.0007490105,0.068200,0.065630
198008,122.38,6.0267,14.7400,0.9215196389,0.0913,0.1164,0.1315,0.1140,0.0199498435,0.006400,0.0072551391,-0.0432,-0.0445,0.0017081584,0.0008182502,0.013454,0.006030
